Indicator Code: CG0670
"Indicator Name: Trachea, bronchus, lung cancers"
Export date: 10/10/2024 5:09:51 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: C33-C34"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
AS,Asia,JPN,Japan,2004,All,Age00,[0],0.00000000,0.00000000,,0.00000000,
AS,Asia,JPN,Japan,2004,All,Age01_04,[1-4],1.00000000,0.08628128,,0.02186748,
AS,Asia,JPN,Japan,2004,All,Age05_09,[5-9],0.00000000,0.00000000,,0.00000000,
AS,Asia,JPN,Japan,2004,All,Age10_14,[10-14],0.00000000,0.00000000,,0.00000000,
AS,Asia,JPN,Japan,2004,All,Age15_19,[15-19],4.00000000,0.20746888,,0.05981756,
AS,Asia,JPN,Japan,2004,All,Age20_24,[20-24],5.00000000,0.15427337,,0.06660450,
AS,Asia,JPN,Japan,2004,All,Age25_29,[25-29],19.00000000,0.45706038,,0.22230022,
AS,Asia,JPN,Japan,2004,All,Age30_34,[30-34],67.00000000,1.12246607,,0.69603158,
AS,Asia,JPN,Japan,2004,All,Age35_39,[35-39],174.00000000,2.34976367,,2.04898728,
AS,Asia,JPN,Japan,2004,All,Age40_44,[40-44],296.00000000,2.93971596,,3.80707396,
AS,Asia,JPN,Japan,2004,All,Age45_49,[45-49],716.00000000,4.44775749,,9.22918278,
AS,Asia,JPN,Japan,2004,All,Age50_54,[50-54],1880.00000000,6.00504679,,20.38161318,
AS,Asia,JPN,Japan,2004,All,Age55_59,[55-59],3359.00000000,7.22676420,,35.05531204,
AS,Asia,JPN,Japan,2004,All,Age60_64,[60-64],5052.00000000,8.20409555,,58.68277384,
AS,Asia,JPN,Japan,2004,All,Age65_69,[65-69],6768.00000000,8.30460017,,92.56017506,
AS,Asia,JPN,Japan,2004,All,Age70_74,[70-74],10412.00000000,8.89048278,,161.57666046,
