Indicator Code: CG0670
"Indicator Name: Trachea, bronchus, lung cancers"
Export date: 10/10/2024 5:25:40 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: C33-C34"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
AS,Asia,KOR,Republic of Korea,2002,All,Age00,[0],0.00000000,0.00000000,,0.00000000,
AS,Asia,KOR,Republic of Korea,2002,All,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
AS,Asia,KOR,Republic of Korea,2002,All,Age05_09,[5-9],0.00000000,0.00000000,,0.00000000,
AS,Asia,KOR,Republic of Korea,2002,All,Age10_14,[10-14],2.00000000,0.34722222,,0.06099532,
AS,Asia,KOR,Republic of Korea,2002,All,Age15_19,[15-19],5.00000000,0.40322581,,0.14673135,
AS,Asia,KOR,Republic of Korea,2002,All,Age20_24,[20-24],9.00000000,0.44160942,,0.22326108,
AS,Asia,KOR,Republic of Korea,2002,All,Age25_29,[25-29],16.00000000,0.62893082,,0.38436601,
AS,Asia,KOR,Republic of Korea,2002,All,Age30_34,[30-34],51.00000000,1.29903209,,1.10100965,
AS,Asia,KOR,Republic of Korea,2002,All,Age35_39,[35-39],90.00000000,1.58422813,,2.12961499,
AS,Asia,KOR,Republic of Korea,2002,All,Age40_44,[40-44],224.00000000,2.37564959,,5.08684308,
AS,Asia,KOR,Republic of Korea,2002,All,Age45_49,[45-49],348.00000000,3.06743059,,10.33518981,
AS,Asia,KOR,Republic of Korea,2002,All,Age50_54,[50-54],599.00000000,4.94510031,,24.28913724,
AS,Asia,KOR,Republic of Korea,2002,All,Age55_59,[55-59],1005.00000000,6.70357524,,49.42334513,
AS,Asia,KOR,Republic of Korea,2002,All,Age60_64,[60-64],1766.00000000,7.99095023,,90.78351935,
AS,Asia,KOR,Republic of Korea,2002,All,Age65_69,[65-69],2382.00000000,9.03127962,,161.86562707,
AS,Asia,KOR,Republic of Korea,2002,All,Age70_74,[70-74],2355.00000000,8.02057081,,241.42827120,
AS,Asia,KOR,Republic of Korea,2002,All,Age75_79,[75-79],2029.00000000,6.04859144,,326.22257094,
AS,Asia,KOR,Republic of Korea,2002,All,Age80_84,[80-84],1158.00000000,3.68285469,,334.26087358,
AS,Asia,KOR,Republic of Korea,2002,All,Age85_over,[85+],582.00000000,1.60202593,,280.33196700,
AS,Asia,KOR,Republic of Korea,2002,All,Age_unknown,[Unknown],1.00000000,4.76190476,,,
AS,Asia,KOR,Republic of Korea,2002,Male,Age00,[0],0.00000000,0.00000000,,0.00000000,
AS,Asia,KOR,Republic of Korea,2002,Male,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
AS,Asia,KOR,Republic of Korea,2002,Male,Age05_09,[5-9],0.00000000,0.00000000,,0.00000000,
AS,Asia,KOR,Republic of Korea,2002,Male,Age10_14,[10-14],2.00000000,0.57636888,,0.11542013,
AS,Asia,KOR,Republic of Korea,2002,Male,Age15_19,[15-19],3.00000000,0.35799523,,0.16973212,
AS,Asia,KOR,Republic of Korea,2002,Male,Age20_24,[20-24],2.00000000,0.14880952,,0.09666716,
AS,Asia,KOR,Republic of Korea,2002,Male,Age25_29,[25-29],9.00000000,0.51783659,,0.42417815,
AS,Asia,KOR,Republic of Korea,2002,Male,Age30_34,[30-34],29.00000000,1.08007449,,1.22941472,
AS,Asia,KOR,Republic of Korea,2002,Male,Age35_39,[35-39],53.00000000,1.29647750,,2.43543344,
