Indicator Code: CG0670
"Indicator Name: Trachea, bronchus, lung cancers"
Export date: 10/10/2024 5:20:29 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: C33-C34"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,All,Age00,[0],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,All,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,All,Age05_09,[5-9],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,All,Age10_14,[10-14],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,All,Age15_19,[15-19],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,All,Age20_24,[20-24],5.00000000,0.23266636,,0.13450066,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,All,Age25_29,[25-29],3.00000000,0.12782275,,0.08147343,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,All,Age30_34,[30-34],22.00000000,0.61745720,,0.49984516,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,All,Age35_39,[35-39],47.00000000,0.94339623,,0.99707560,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,All,Age40_44,[40-44],205.00000000,2.90615254,,4.66891154,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,All,Age45_49,[45-49],529.00000000,5.46092702,,13.67212992,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,All,Age50_54,[50-54],1123.00000000,7.54957983,,30.01743577,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,All,Age55_59,[55-59],2283.00000000,9.71820194,,60.04487980,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,All,Age60_64,[60-64],3358.00000000,11.05441617,,113.86721618,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,All,Age65_69,[65-69],4494.00000000,10.24180132,,169.26751310,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,All,Age70_74,[70-74],5953.00000000,9.15634853,,253.80104692,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,All,Age75_79,[75-79],6802.00000000,7.38994394,,352.06273984,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,All,Age80_84,[80-84],5406.00000000,4.74052509,,368.65341260,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,All,Age85_over,[85+],3194.00000000,1.66510270,,289.27307686,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,All,Age_unknown,[Unknown],0.00000000,0.00000000,,,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,Male,Age00,[0],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,Male,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,Male,Age05_09,[5-9],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,Male,Age10_14,[10-14],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,Male,Age15_19,[15-19],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,Male,Age20_24,[20-24],3.00000000,0.18915511,,0.16074526,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,Male,Age25_29,[25-29],1.00000000,0.06097561,,0.05426522,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,Male,Age30_34,[30-34],10.00000000,0.41649313,,0.45853744,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,Male,Age35_39,[35-39],30.00000000,0.93691443,,1.28197239,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,Male,Age40_44,[40-44],107.00000000,2.47227357,,4.92117836,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,Male,Age45_49,[45-49],270.00000000,4.68018721,,14.09136528,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,Male,Age50_54,[50-54],653.00000000,7.31816654,,35.26774864,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,Male,Age55_59,[55-59],1373.00000000,9.62630583,,73.08447352,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,Male,Age60_64,[60-64],2111.00000000,11.32996994,,146.54674501,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,Male,Age65_69,[65-69],2847.00000000,10.81152926,,223.35525567,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,Male,Age70_74,[70-74],3640.00000000,9.78836690,,339.57694683,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,Male,Age75_79,[75-79],3966.00000000,8.19540016,,483.87746163,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,Male,Age80_84,[80-84],3052.00000000,5.81255833,,555.47264315,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,Male,Age85_over,[85+],1726.00000000,2.87345797,,552.68609927,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,Male,Age_unknown,[Unknown],0.00000000,0.00000000,,,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,Female,Age00,[0],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,Female,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,Female,Age05_09,[5-9],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,Female,Age10_14,[10-14],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,Female,Age15_19,[15-19],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,Female,Age20_24,[20-24],2.00000000,0.35523979,,0.10804112,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,Female,Age25_29,[25-29],2.00000000,0.28288543,,0.10873223,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,Female,Age30_34,[30-34],12.00000000,1.03270224,,0.54041493,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,Female,Age35_39,[35-39],17.00000000,0.95505618,,0.71619929,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,Female,Age40_44,[40-44],98.00000000,3.59501101,,4.42144691,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,Female,Age45_49,[45-49],259.00000000,6.61051557,,13.26084753,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,Female,Age50_54,[50-54],470.00000000,7.89650538,,24.87287053,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,Female,Age55_59,[55-59],910.00000000,9.86022321,,47.30939513,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,Female,Age60_64,[60-64],1247.00000000,10.61728395,,82.66199464,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,Female,Age65_69,[65-69],1647.00000000,9.38675482,,119.32033053,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,Female,Age70_74,[70-74],2313.00000000,8.31177232,,181.60889939,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,Female,Age75_79,[75-79],2836.00000000,6.49698747,,254.94128530,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,Female,Age80_84,[80-84],2354.00000000,3.82571387,,256.71337091,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,Female,Age85_over,[85+],1468.00000000,1.11420613,,185.38771036,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2003,Female,Age_unknown,[Unknown],0.00000000,0.00000000,,,
