Indicator Code: CG0670
"Indicator Name: Trachea, bronchus, lung cancers"
Export date: 10/10/2024 5:13:51 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: C33-C34"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
NAC,North America and the Caribbean,USA,United States of America,2001,All,Age00,[0],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,USA,United States of America,2001,All,Age01_04,[1-4],5.00000000,0.09790484,,0.03260389,
NAC,North America and the Caribbean,USA,United States of America,2001,All,Age05_09,[5-9],1.00000000,0.03233107,,0.00495441,
NAC,North America and the Caribbean,USA,United States of America,2001,All,Age10_14,[10-14],1.00000000,0.02498751,,0.00478894,
NAC,North America and the Caribbean,USA,United States of America,2001,All,Age15_19,[15-19],6.00000000,0.04426411,,0.02960455,
NAC,North America and the Caribbean,USA,United States of America,2001,All,Age20_24,[20-24],14.00000000,0.07487832,,0.07113383,
NAC,North America and the Caribbean,USA,United States of America,2001,All,Age25_29,[25-29],36.00000000,0.19768272,,0.19021347,
NAC,North America and the Caribbean,USA,United States of America,2001,All,Age30_34,[30-34],121.00000000,0.51550784,,0.58507238,
NAC,North America and the Caribbean,USA,United States of America,2001,All,Age35_39,[35-39],640.00000000,1.73465239,,2.87729083,
NAC,North America and the Caribbean,USA,United States of America,2001,All,Age40_44,[40-44],2156.00000000,3.93581482,,9.46630376,
NAC,North America and the Caribbean,USA,United States of America,2001,All,Age45_49,[45-49],4255.00000000,5.77465936,,20.48728144,
NAC,North America and the Caribbean,USA,United States of America,2001,All,Age50_54,[50-54],7786.00000000,8.24954175,,42.27108775,
NAC,North America and the Caribbean,USA,United States of America,2001,All,Age55_59,[55-59],12595.00000000,11.49986761,,88.75896434,
NAC,North America and the Caribbean,USA,United States of America,2001,All,Age60_64,[60-64],17182.00000000,12.76371308,,154.53576223,
NAC,North America and the Caribbean,USA,United States of America,2001,All,Age65_69,[65-69],22850.00000000,12.82036896,,239.70118860,
NAC,North America and the Caribbean,USA,United States of America,2001,All,Age70_74,[70-74],28375.00000000,11.22748568,,323.15850050,
NAC,North America and the Caribbean,USA,United States of America,2001,All,Age75_79,[75-79],27723.00000000,8.30833411,,373.37640255,
NAC,North America and the Caribbean,USA,United States of America,2001,All,Age80_84,[80-84],18977.00000000,5.15326461,,368.55607084,
