Country Name,Year,Sex,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Death rate per 100 000 population
Germany,2000,All,[0],0,0,0
Germany,2000,All,[1-4],0,0,0
Germany,2000,All,[5-9],1,0.21052632,0.02402561
Germany,2000,All,[10-14],2,0.32786885,0.04229719
Germany,2000,All,[15-19],0,0,0
Germany,2000,All,[20-24],4,0.14134276,0.08720766
Germany,2000,All,[25-29],15,0.50847458,0.2953496
Germany,2000,All,[30-34],39,0.80661841,0.57155787
Germany,2000,All,[35-39],180,2.30710074,2.50646878
Germany,2000,All,[40-44],576,4.85625158,9.13677031
Germany,2000,All,[45-49],1214,7.1093933,21.37152746
Germany,2000,All,[50-54],2055,9.50332963,42.85338928
Germany,2000,All,[55-59],3855,10.71369018,74.88558823
Germany,2000,All,[60-64],6012,10.12410959,106.9737185
Germany,2000,All,[65-69],6665,9.42062785,163.2910059
Germany,2000,All,[70-74],7287,7.40247867,203.846708
Germany,2000,All,[75-79],5820,4.60851387,204.4945226
Germany,2000,All,[80-84],2742,2.63122541,197.9087498
Germany,2000,All,[85+],2523,0.94328689,155.4932952
Germany,2000,Male,[0],0,0,0
Germany,2000,Male,[1-4],0,0,0
Germany,2000,Male,[5-9],1,0.35842294,0.04682727
Germany,2000,Male,[10-14],1,0.28089888,0.04120074
Germany,2000,Male,[15-19],0,0,0
Germany,2000,Male,[20-24],3,0.14137606,0.12831908
Germany,2000,Male,[25-29],6,0.27816412,0.23076293
Germany,2000,Male,[30-34],21,0.62351544,0.59681115
Germany,2000,Male,[35-39],106,2.02097235,2.86653288
Germany,2000,Male,[40-44],356,4.4695543,11.03932107
Germany,2000,Male,[45-49],809,7.13970523,28.26146572
Germany,2000,Male,[50-54],1486,10.39742513,61.510747
Germany,2000,Male,[55-59],2974,12.2558312,115.6814039
Germany,2000,Male,[60-64],4854,12.12742036,176.4040824
Germany,2000,Male,[65-69],5424,11.71566192,282.3137024
Germany,2000,Male,[70-74],5690,9.8495733,375.0589119
Germany,2000,Male,[75-79],4156,7.24382549,440.2593674
Germany,2000,Male,[80-84],1822,4.58468584,450.2912559
Germany,2000,Male,[85+],1435,1.97721041,368.2934028
Germany,2000,Female,[0],0,0,0
Germany,2000,Female,[1-4],0,0,0
Germany,2000,Female,[5-9],0,0,0
Germany,2000,Female,[10-14],1,0.39370079,0.04345361
Germany,2000,Female,[15-19],0,0,0
Germany,2000,Female,[20-24],1,0.14124294,0.04446755
Germany,2000,Female,[25-29],9,1.13493064,0.3631
Germany,2000,Female,[30-34],18,1.22699387,0.54466973
Germany,2000,Female,[35-39],74,2.89401643,2.12425698
Germany,2000,Female,[40-44],220,5.64681725,7.14433936
Germany,2000,Female,[45-49],405,7.04960836,14.37240498
Germany,2000,Female,[50-54],569,7.76050191,23.91176265
Germany,2000,Female,[55-59],881,7.51963127,34.18705246
Germany,2000,Female,[60-64],1158,5.98202294,40.37044591
Germany,2000,Female,[65-69],1241,5.07524947,57.44298633
Germany,2000,Female,[70-74],1597,3.92663077,77.61281073
Germany,2000,Female,[75-79],1664,2.41456867,87.48441815
Germany,2000,Female,[80-84],920,1.42704245,93.79524091
Germany,2000,Female,[85+],1088,0.55825791,88.2441443
Germany,2001,All,[0],0,0,0
Germany,2001,All,[1-4],0,0,0
Germany,2001,All,[5-9],0,0,0
Germany,2001,All,[10-14],1,0.15479876,0.02112208
Germany,2001,All,[15-19],3,0.15182186,0.06484392
Germany,2001,All,[20-24],1,0.03746722,0.0212781
Germany,2001,All,[25-29],9,0.35252644,0.18589718
Germany,2001,All,[30-34],33,0.78014184,0.50293577
Germany,2001,All,[35-39],145,1.88900469,2.00244879
Germany,2001,All,[40-44],499,4.34177325,7.68267563
Germany,2001,All,[45-49],1233,7.26576311,21.45193592
Germany,2001,All,[50-54],2047,8.98476935,40.0671531
Germany,2001,All,[55-59],3398,10.55181194,72.5260052
Germany,2001,All,[60-64],5911,10.06213295,102.6170739
Germany,2001,All,[65-69],6391,9.13404508,149.8125761
Germany,2001,All,[70-74],7540,7.79384555,209.3029324
Germany,2001,All,[75-79],5776,4.74161639,203.2742785
Germany,2001,All,[80-84],3153,2.76778033,198.4669014
Germany,2001,All,[85+],2429,0.93515153,154.1431443
Germany,2001,Male,[0],0,0,0
Germany,2001,Male,[1-4],0,0,0
Germany,2001,Male,[5-9],0,0,0
Germany,2001,Male,[10-14],1,0.26041667,0.04114253
Germany,2001,Male,[15-19],1,0.07267442,0.04213459
Germany,2001,Male,[20-24],1,0.04962779,0.04182543
Germany,2001,Male,[25-29],5,0.27114967,0.20213658
Germany,2001,Male,[30-34],22,0.72871812,0.65152754
Germany,2001,Male,[35-39],81,1.5876127,2.17092467
Germany,2001,Male,[40-44],312,4.06779661,9.39276667
Germany,2001,Male,[45-49],800,7.11553856,27.57924552
Germany,2001,Male,[50-54],1414,9.45566404,55.02999018
Germany,2001,Male,[55-59],2554,11.77989945,109.2151689
Germany,2001,Male,[60-64],4710,11.88253696,166.7793283
Germany,2001,Male,[65-69],5150,11.30675332,255.4198607
Germany,2001,Male,[70-74],5931,10.23857202,378.4970775
Germany,2001,Male,[75-79],4078,7.23203518,420.9883005
Germany,2001,Male,[80-84],2108,4.83220246,450.8386926
Germany,2001,Male,[85+],1396,2.02462618,370.0669885
Germany,2001,Female,[0],0,0,0
Germany,2001,Female,[1-4],0,0,0
Germany,2001,Female,[5-9],0,0,0
Germany,2001,Female,[10-14],0,0,0
Germany,2001,Female,[15-19],2,0.33333333,0.08876474
Germany,2001,Female,[20-24],0,0,0
Germany,2001,Female,[25-29],4,0.56417489,0.1689324
Germany,2001,Female,[30-34],11,0.90834021,0.34539126
Germany,2001,Female,[35-39],64,2.48640249,1.82335923
Germany,2001,Female,[40-44],187,4.89144651,5.89268135
Germany,2001,Female,[45-49],433,7.56067749,15.20898658
Germany,2001,Female,[50-54],633,8.0853238,24.9270009
Germany,2001,Female,[55-59],844,8.02128873,35.96519898
