Reference area,Sex,TIME_PERIOD,OBS_VALUE
United Kingdom,Total,2008,31.8
United Kingdom,Total,2002,36.5
United Kingdom,Female,2012,25.8
United Kingdom,Female,2008,23.7
Germany,Female,2002,12.7
Germany,Female,2000,11.4
Germany,Male,2012,38.8
Germany,Male,2008,42.4
United States,Female,2012,33.7
United States,Female,2002,36.1
United States,Female,2008,36.2
United Kingdom,Total,2000,34.7
United Kingdom,Total,2012,30
United Kingdom,Female,2002,24.9
United Kingdom,Female,2000,21.8
United States,Male,2008,49.5
United States,Male,2002,61.9
United States,Male,2012,44.2
France,Male,2012,52
France,Male,2008,47.7
France,Male,2000,53.5
France,Male,2002,52.6
Korea,Male,2002,53.3
Korea,Male,2012,45.5
Korea,Male,2008,46.4
Germany,Total,2000,30.8
Germany,Total,2012,27.5
Germany,Total,2008,28.1
Germany,Total,2002,29.7
Korea,Female,2008,13.8
Korea,Female,2002,12.8
Korea,Female,2012,16.2
Germany,Female,2008,16.4
Germany,Female,2012,17.9
Germany,Male,2002,46.7
Germany,Male,2000,50.3
Korea,Total,2008,27.6
Korea,Total,2002,33.1
Korea,Total,2012,28.7
United States,Total,2008,42.1
United States,Total,2002,49
United States,Total,2012,38.4
United Kingdom,Male,2002,48.1
United Kingdom,Male,2000,47.6
United Kingdom,Male,2012,34.9
United Kingdom,Male,2008,41.6
France,Total,2002,30.7
France,Total,2000,30.5
France,Total,2012,35
France,Total,2008,30
France,Female,2008,14.7
France,Female,2012,20.2
France,Female,2002,8.8
France,Female,2000,7.4
Japan,Male,2008,38.7
Japan,Male,2002,38.1
Japan,Male,2012,38.8
Japan,Female,2008,13.3
Japan,Female,2002,12.3
Japan,Female,2012,12.9
Japan,Total,2002,25.2
Japan,Total,2008,24.6
Japan,Total,2012,24.6

