Indicator Code: CG0670
"Indicator Name: Trachea, bronchus, lung cancers"
Export date: 10/10/2024 5:04:37 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: C33-C34"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
AS,Asia,JPN,Japan,2000,All,Age00,[0],0.00000000,0.00000000,,0.00000000,
AS,Asia,JPN,Japan,2000,All,Age01_04,[1-4],1.00000000,0.06949270,,0.02128970,
AS,Asia,JPN,Japan,2000,All,Age05_09,[5-9],1.00000000,0.13550136,,0.01670892,
AS,Asia,JPN,Japan,2000,All,Age10_14,[10-14],1.00000000,0.13440860,,0.01536771,
AS,Asia,JPN,Japan,2000,All,Age15_19,[15-19],2.00000000,0.08343763,,0.02690662,
AS,Asia,JPN,Japan,2000,All,Age20_24,[20-24],5.00000000,0.12391574,,0.06023881,
AS,Asia,JPN,Japan,2000,All,Age25_29,[25-29],19.00000000,0.39443637,,0.19737756,
AS,Asia,JPN,Japan,2000,All,Age30_34,[30-34],87.00000000,1.55468192,,1.01058430,
AS,Asia,JPN,Japan,2000,All,Age35_39,[35-39],171.00000000,2.42690888,,2.14337795,
AS,Asia,JPN,Japan,2000,All,Age40_44,[40-44],436.00000000,4.16070236,,5.65780994,
AS,Asia,JPN,Japan,2000,All,Age45_49,[45-49],893.00000000,4.52472639,,10.09557331,
AS,Asia,JPN,Japan,2000,All,Age50_54,[50-54],2129.00000000,5.93979299,,20.48888264,
AS,Asia,JPN,Japan,2000,All,Age55_59,[55-59],3013.00000000,6.55113933,,34.63834316,
AS,Asia,JPN,Japan,2000,All,Age60_64,[60-64],4420.00000000,7.28411338,,57.31620625,
AS,Asia,JPN,Japan,2000,All,Age65_69,[65-69],7407.00000000,8.31705181,,104.44773630,
AS,Asia,JPN,Japan,2000,All,Age70_74,[70-74],10210.00000000,8.76184265,,173.34471081,
AS,Asia,JPN,Japan,2000,All,Age75_79,[75-79],9785.00000000,7.46946565,,236.37737957,
AS,Asia,JPN,Japan,2000,All,Age80_84,[80-84],7897.00000000,5.36991704,,302.62513992,
AS,Asia,JPN,Japan,2000,All,Age85_over,[85+],7245.00000000,2.64501008,,324.77545890,
AS,Asia,JPN,Japan,2000,All,Age_unknown,[Unknown],2.00000000,0.27662517,,,
AS,Asia,JPN,Japan,2000,Male,Age00,[0],0.00000000,0.00000000,,0.00000000,
AS,Asia,JPN,Japan,2000,Male,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
