Indicator Code: CG0670
"Indicator Name: Trachea, bronchus, lung cancers"
Export date: 10/10/2024 5:24:44 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: C33-C34"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
AS,Asia,KOR,Republic of Korea,2000,All,Age00,[0],1.00000000,0.03454231,,0.16721429,
AS,Asia,KOR,Republic of Korea,2000,All,Age01_04,[1-4],2.00000000,0.16051364,,0.07506524,
AS,Asia,KOR,Republic of Korea,2000,All,Age05_09,[5-9],1.00000000,0.10615711,,0.02819995,
AS,Asia,KOR,Republic of Korea,2000,All,Age10_14,[10-14],1.00000000,0.15822785,,0.03168069,
AS,Asia,KOR,Republic of Korea,2000,All,Age15_19,[15-19],5.00000000,0.27654867,,0.13065269,
AS,Asia,KOR,Republic of Korea,2000,All,Age20_24,[20-24],9.00000000,0.35046729,,0.22940685,
AS,Asia,KOR,Republic of Korea,2000,All,Age25_29,[25-29],29.00000000,0.86130086,,0.64568703,
AS,Asia,KOR,Republic of Korea,2000,All,Age30_34,[30-34],61.00000000,1.37356451,,1.36167675,
AS,Asia,KOR,Republic of Korea,2000,All,Age35_39,[35-39],117.00000000,1.75359712,,2.65236535,
AS,Asia,KOR,Republic of Korea,2000,All,Age40_44,[40-44],258.00000000,2.58129065,,6.34255552,
AS,Asia,KOR,Republic of Korea,2000,All,Age45_49,[45-49],375.00000000,3.46804772,,12.94430016,
AS,Asia,KOR,Republic of Korea,2000,All,Age50_54,[50-54],615.00000000,4.85897132,,26.52344867,
AS,Asia,KOR,Republic of Korea,2000,All,Age55_59,[55-59],1108.00000000,6.44223501,,53.05209975,
AS,Asia,KOR,Republic of Korea,2000,All,Age60_64,[60-64],1747.00000000,7.77896518,,97.23354697,
AS,Asia,KOR,Republic of Korea,2000,All,Age65_69,[65-69],2113.00000000,8.36864826,,162.40179418,
AS,Asia,KOR,Republic of Korea,2000,All,Age70_74,[70-74],2086.00000000,7.15633469,,236.11307620,
AS,Asia,KOR,Republic of Korea,2000,All,Age75_79,[75-79],1818.00000000,5.42589387,,309.67610060,
AS,Asia,KOR,Republic of Korea,2000,All,Age80_84,[80-84],885.00000000,2.94528754,,285.94507270,
AS,Asia,KOR,Republic of Korea,2000,All,Age85_over,[85+],396.00000000,1.19727891,,211.84740567,
AS,Asia,KOR,Republic of Korea,2000,All,Age_unknown,[Unknown],0.00000000,0.00000000,,,
AS,Asia,KOR,Republic of Korea,2000,Male,Age00,[0],0.00000000,0.00000000,,0.00000000,
AS,Asia,KOR,Republic of Korea,2000,Male,Age01_04,[1-4],2.00000000,0.28248588,,0.14313339,
AS,Asia,KOR,Republic of Korea,2000,Male,Age05_09,[5-9],1.00000000,0.17094017,,0.05299720,
AS,Asia,KOR,Republic of Korea,2000,Male,Age10_14,[10-14],0.00000000,0.00000000,,0.00000000,
AS,Asia,KOR,Republic of Korea,2000,Male,Age15_19,[15-19],2.00000000,0.16366612,,0.10133406,
AS,Asia,KOR,Republic of Korea,2000,Male,Age20_24,[20-24],5.00000000,0.27700831,,0.24888549,
AS,Asia,KOR,Republic of Korea,2000,Male,Age25_29,[25-29],15.00000000,0.63559322,,0.65274918,
AS,Asia,KOR,Republic of Korea,2000,Male,Age30_34,[30-34],31.00000000,1.01406608,,1.35558890,
AS,Asia,KOR,Republic of Korea,2000,Male,Age35_39,[35-39],67.00000000,1.39177399,,2.95775966,
AS,Asia,KOR,Republic of Korea,2000,Male,Age40_44,[40-44],143.00000000,1.92800324,,6.88221309,
AS,Asia,KOR,Republic of Korea,2000,Male,Age45_49,[45-49],295.00000000,3.57575758,,20.05962127,
AS,Asia,KOR,Republic of Korea,2000,Male,Age50_54,[50-54],474.00000000,4.99262692,,40.62351090,
AS,Asia,KOR,Republic of Korea,2000,Male,Age55_59,[55-59],891.00000000,7.12971113,,88.25924246,
AS,Asia,KOR,Republic of Korea,2000,Male,Age60_64,[60-64],1429.00000000,9.13215746,,171.92156334,
AS,Asia,KOR,Republic of Korea,2000,Male,Age65_69,[65-69],1711.00000000,10.89947764,,314.27479850,
AS,Asia,KOR,Republic of Korea,2000,Male,Age70_74,[70-74],1542.00000000,9.95288195,,468.75569985,
AS,Asia,KOR,Republic of Korea,2000,Male,Age75_79,[75-79],1276.00000000,7.92940592,,617.08990845,
AS,Asia,KOR,Republic of Korea,2000,Male,Age80_84,[80-84],544.00000000,4.62860546,,566.50733648,
AS,Asia,KOR,Republic of Korea,2000,Male,Age85_over,[85+],199.00000000,2.22396066,,460.26459432,
AS,Asia,KOR,Republic of Korea,2000,Male,Age_unknown,[Unknown],0.00000000,0.00000000,,,
AS,Asia,KOR,Republic of Korea,2000,Female,Age00,[0],1.00000000,0.07407407,,0.35081565,
AS,Asia,KOR,Republic of Korea,2000,Female,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
AS,Asia,KOR,Republic of Korea,2000,Female,Age05_09,[5-9],0.00000000,0.00000000,,0.00000000,
AS,Asia,KOR,Republic of Korea,2000,Female,Age10_14,[10-14],1.00000000,0.42918455,,0.06673607,
AS,Asia,KOR,Republic of Korea,2000,Female,Age15_19,[15-19],3.00000000,0.51194539,,0.16187604,
AS,Asia,KOR,Republic of Korea,2000,Female,Age20_24,[20-24],4.00000000,0.52424640,,0.20896403,
