Indicator Code: CG0670
"Indicator Name: Trachea, bronchus, lung cancers"
Export date: 10/10/2024 5:15:53 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: C33-C34"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
NAC,North America and the Caribbean,USA,United States of America,2003,All,Age00,[0],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,USA,United States of America,2003,All,Age01_04,[1-4],2.00000000,0.04028197,,0.01268579,
NAC,North America and the Caribbean,USA,United States of America,2003,All,Age05_09,[5-9],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,USA,United States of America,2003,All,Age10_14,[10-14],2.00000000,0.04930966,,0.00943692,
NAC,North America and the Caribbean,USA,United States of America,2003,All,Age15_19,[15-19],7.00000000,0.05148952,,0.03418224,
NAC,North America and the Caribbean,USA,United States of America,2003,All,Age20_24,[20-24],18.00000000,0.09012166,,0.08684034,
NAC,North America and the Caribbean,USA,United States of America,2003,All,Age25_29,[25-29],29.00000000,0.15890411,,0.15129419,
NAC,North America and the Caribbean,USA,United States of America,2003,All,Age30_34,[30-34],125.00000000,0.54229935,,0.60372929,
NAC,North America and the Caribbean,USA,United States of America,2003,All,Age35_39,[35-39],520.00000000,1.52694171,,2.42899805,
NAC,North America and the Caribbean,USA,United States of America,2003,All,Age40_44,[40-44],1958.00000000,3.53391329,,8.52691269,
NAC,North America and the Caribbean,USA,United States of America,2003,All,Age45_49,[45-49],4617.00000000,5.90613127,,21.21667255,
NAC,North America and the Caribbean,USA,United States of America,2003,All,Age50_54,[50-54],7757.00000000,7.86650170,,40.73324889,
NAC,North America and the Caribbean,USA,United States of America,2003,All,Age55_59,[55-59],12920.00000000,10.82630154,,81.80295744,
NAC,North America and the Caribbean,USA,United States of America,2003,All,Age60_64,[60-64],18036.00000000,12.59673139,,148.98783927,
NAC,North America and the Caribbean,USA,United States of America,2003,All,Age65_69,[65-69],22414.00000000,12.82140753,,229.97957231,
NAC,North America and the Caribbean,USA,United States of America,2003,All,Age70_74,[70-74],26972.00000000,11.30048601,,313.95789132,
NAC,North America and the Caribbean,USA,United States of America,2003,All,Age75_79,[75-79],28031.00000000,8.62001630,,376.12412217,
NAC,North America and the Caribbean,USA,United States of America,2003,All,Age80_84,[80-84],20588.00000000,5.44888167,,380.12739474,
NAC,North America and the Caribbean,USA,United States of America,2003,All,Age85_over,[85+],14088.00000000,2.04811500,,298.88827057,
NAC,North America and the Caribbean,USA,United States of America,2003,All,Age_unknown,[Unknown],2.00000000,0.58479532,,,
NAC,North America and the Caribbean,USA,United States of America,2003,Male,Age00,[0],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,USA,United States of America,2003,Male,Age01_04,[1-4],1.00000000,0.03538570,,0.01240713,
NAC,North America and the Caribbean,USA,United States of America,2003,Male,Age05_09,[5-9],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,USA,United States of America,2003,Male,Age10_14,[10-14],1.00000000,0.03984064,,0.00921086,
NAC,North America and the Caribbean,USA,United States of America,2003,Male,Age15_19,[15-19],4.00000000,0.04121162,,0.03802759,
NAC,North America and the Caribbean,USA,United States of America,2003,Male,Age20_24,[20-24],10.00000000,0.06682705,,0.09377413,
