Indicator Code: CG0670
"Indicator Name: Trachea, bronchus, lung cancers"
Export date: 10/10/2024 5:21:23 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: C33-C34"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2001,All,Age00,[0],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2001,All,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2001,All,Age05_09,[5-9],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2001,All,Age10_14,[10-14],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2001,All,Age15_19,[15-19],1.00000000,0.06439150,,0.02722497,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2001,All,Age20_24,[20-24],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2001,All,Age25_29,[25-29],5.00000000,0.19394880,,0.12734590,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2001,All,Age30_34,[30-34],22.00000000,0.58262712,,0.48152329,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2001,All,Age35_39,[35-39],68.00000000,1.34600158,,1.46324543,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2001,All,Age40_44,[40-44],186.00000000,2.77694834,,4.44928603,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2001,All,Age45_49,[45-49],582.00000000,5.96433695,,15.50701959,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2001,All,Age50_54,[50-54],1326.00000000,8.15297590,,33.01560996,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2001,All,Age55_59,[55-59],2202.00000000,10.04974670,,65.00714429,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2001,All,Age60_64,[60-64],3287.00000000,10.70579422,,114.08072695,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2001,All,Age65_69,[65-69],4643.00000000,10.38772177,,178.48514053,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2001,All,Age70_74,[70-74],6495.00000000,9.45442371,,277.48666718,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2001,All,Age75_79,[75-79],6858.00000000,7.12860172,,349.19227011,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2001,All,Age80_84,[80-84],4676.00000000,4.54104028,,352.28961883,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2001,All,Age85_over,[85+],3172.00000000,1.70456072,,281.04048773,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2001,All,Age_unknown,[Unknown],0.00000000,,,,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2001,Male,Age00,[0],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2001,Male,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2001,Male,Age05_09,[5-9],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2001,Male,Age10_14,[10-14],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2001,Male,Age15_19,[15-19],1.00000000,0.09041591,,0.05327900,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2001,Male,Age20_24,[20-24],0.00000000,0.00000000,,0.00000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2001,Male,Age25_29,[25-29],3.00000000,0.16094421,,0.15261824,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2001,Male,Age30_34,[30-34],13.00000000,0.50096339,,0.57070083,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2001,Male,Age35_39,[35-39],37.00000000,1.15408609,,1.61316482,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2001,Male,Age40_44,[40-44],99.00000000,2.43303023,,4.77251034,
