Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
EU,Europe,DEU,Germany,2000,All,Age00,[0],0,0,,0
EU,Europe,DEU,Germany,2000,All,Age01_04,[1-4],0,0,,0
EU,Europe,DEU,Germany,2000,All,Age05_09,[5-9],1,0.21052632,,0.02402561
EU,Europe,DEU,Germany,2000,All,Age10_14,[10-14],2,0.32786885,,0.04229719
EU,Europe,DEU,Germany,2000,All,Age15_19,[15-19],0,0,,0
EU,Europe,DEU,Germany,2000,All,Age20_24,[20-24],4,0.14134276,,0.08720766
EU,Europe,DEU,Germany,2000,All,Age25_29,[25-29],15,0.50847458,,0.2953496
EU,Europe,DEU,Germany,2000,All,Age30_34,[30-34],39,0.80661841,,0.57155787
EU,Europe,DEU,Germany,2000,All,Age35_39,[35-39],180,2.30710074,,2.50646878
EU,Europe,DEU,Germany,2000,All,Age40_44,[40-44],576,4.85625158,,9.13677031
EU,Europe,DEU,Germany,2000,All,Age45_49,[45-49],1214,7.1093933,,21.37152746
EU,Europe,DEU,Germany,2000,All,Age50_54,[50-54],2055,9.50332963,,42.85338928
EU,Europe,DEU,Germany,2000,All,Age55_59,[55-59],3855,10.71369018,,74.88558823
EU,Europe,DEU,Germany,2000,All,Age60_64,[60-64],6012,10.12410959,,106.9737185
EU,Europe,DEU,Germany,2000,All,Age65_69,[65-69],6665,9.42062785,,163.2910059
EU,Europe,DEU,Germany,2000,All,Age70_74,[70-74],7287,7.40247867,,203.846708
EU,Europe,DEU,Germany,2000,All,Age75_79,[75-79],5820,4.60851387,,204.4945226
EU,Europe,DEU,Germany,2000,All,Age80_84,[80-84],2742,2.63122541,,197.9087498
EU,Europe,DEU,Germany,2000,All,Age85_over,[85+],2523,0.94328689,,155.4932952
EU,Europe,DEU,Germany,2000,All,Age_unknown,[Unknown],0,,,
EU,Europe,DEU,Germany,2000,Male,Age00,[0],0,0,,0
EU,Europe,DEU,Germany,2000,Male,Age01_04,[1-4],0,0,,0
